,alpha,beta,lambda
403,0.016464672427560213,0.017918147258997614,0.002219718905939098
404,0.04964646085519024,0.05103869714014591,0.002120997742993475
405,0.01798705601076224,0.01950766700428816,0.004114661780858525
409,0.021370525008027053,0.04988841340537624,0.02319035626543804
410,0.020332013635868527,0.026351330695027646,0.011941790395784014
411,0.017849648918862385,0.02660858210184979,0.012391405282465812
412,0.010045383011652741,0.03039692427642663,0.013362181157705764
419,0.03773717772234881,0.044783472304732515,0.007081691341391315
420,0.011602429866998732,0.01774845545372737,0.007783164660674085
421,0.01058841224756434,0.013188945672687222,0.004200671072894462
423,0.01574984765868437,0.01836820386331436,0.0034253589871838684
424,0.017796803885899215,0.02778719580138364,0.012943943010612028
425,0.015410034433475588,0.02279659852153964,0.006995913135922731
426,0.015148760736841497,0.026717621558424637,0.012662898519163704
427,0.019998191285616838,0.021901167884416563,0.0008967178240688431
428,0.017853132219092602,0.01851016969222793,0.0010973566733899272
430,0.009096415030361616,0.009911221684214846,0.0018394156998129756
431,0.006820392599383803,0.010362919235911958,0.002892744926029681
432,0.013985377809856779,0.014482705099875672,0.0006083596307720182
433,0.014620448836205575,0.02002926354812658,0.006950374911232382
435,0.03196915311653031,0.06182340947458041,0.01486011348540889
436,0.00975688072404679,0.009756880724047344,0.0006751025413275171
437,0.01569710845012926,0.0207978482066835,0.007525171375267754
439,0.008709228431019216,0.022023906463768006,0.005756957618747649
440,0.014602805044106331,0.02804148299272965,0.012528761914031843
441,0.01500199136179355,0.025994016684205225,0.009786930445504218
442,0.01218916158311127,0.020456861691144936,0.005715939109725932
443,0.01483528901857959,0.025825483774589774,0.013292394650083575
444,0.01298072721464714,0.01695613758737772,0.008361719829968028
445,0.016847343700647836,0.03856070367709785,0.01400649144147488
446,0.01170899662110555,0.016081319199892037,0.007623984997765473
447,0.023731597766836317,0.0623314442364109,0.008429658941622523
448,0.01140048906083332,0.011796230160894074,0.0011748970709323837
449,0.08014078779258933,0.12709036832019735,0.01971923544279728
450,0.01901856593581815,0.052093088140577865,0.01578603793007104
451,0.014617909274119406,0.030766060290273418,0.010585575224306337
452,0.018127134168816523,0.02478090173445151,0.010340370532489778
453,0.02165614485729727,0.03916707287998257,0.01394039121051527
454,0.02051633468852386,0.03571246995494167,0.00677675001546659
455,0.01773796248716651,0.022380047791338176,0.003591073164550664
456,0.006398695451409674,0.015218106499541823,0.008910041996135055
457,0.01869154131762037,0.023688229813272947,0.012542868000431955
458,0.018950159901709764,0.030976929042272144,0.013869866208641562
459,0.027143973335533436,0.036737065898597224,0.012382569510142638
460,0.022377115244961877,0.03384849263882318,0.012483621618584809
461,0.017330465787219338,0.060273721785765094,0.013135755787514556
462,0.016706590199192618,0.028911389980838163,0.016995539973144472
463,0.008344843387123744,0.027828525896225142,0.009095492627011507
464,0.05302723335481565,0.1400733914818989,0.006191450051998056
465,0.016362635569532442,0.03477336646032528,0.015939883983356332
466,0.014278076430282956,0.03147752809948447,0.0112159218344893
467,0.015038754159777212,0.025872127874374963,0.00886906859456091
468,0.007178067920939266,0.021275758125769983,0.007543834418398425
469,0.026588399870202395,0.06840439883187072,0.015545031267032994
470,0.012052643864251833,0.05315935782053028,0.01960193849772088
471,0.015309659211798983,0.025037828498840654,0.010100628407196601
472,0.010319331209939291,0.04758618907285565,0.006223758456684022
473,0.02464206877754089,0.051399035888596206,0.006963762479719689
475,0.019588640159108925,0.034257562341162485,0.01326273544574918
476,0.016461105347159725,0.023658953356059654,0.004653281994209458
477,0.015465635599181387,0.042269305480692285,0.01185392712688519
478,0.024196590160980212,0.033855877135591975,0.01609293909004099
479,0.015792017351461195,0.022680392592173537,0.01152347629000711
480,0.030215406633817568,0.04237111459892135,0.02033431602218736
481,0.01832124008472255,0.02244780137456249,0.008286855941788521
482,0.01667623994898445,0.01706567662663868,0.0005313961767811783
483,0.026767276719443112,0.06691621995714173,0.020484057291799602
484,0.020116150989569356,0.03650526558041592,0.011573794389460008
485,0.024145278766003385,0.0320107195331599,0.009607183215649337
486,0.018007806813857708,0.026167623411660353,0.014916280016112532
487,0.02195509807324478,0.05114210186698167,0.010393879149683923
488,0.013027590655507335,0.033970158215781796,0.015472973641593026
489,0.016240682346463364,0.03794716780701671,0.019037525104353217
490,0.010190663152862147,0.022560162900265343,0.008082847336271622
491,0.02417697329943714,0.028328023323287595,0.006837885315573778
492,0.014976804472487327,0.016164668006728215,0.004086770775875914
494,0.029784719236270032,0.05361554253124949,0.001372515624486065
495,0.03587556428914191,0.06160783764621558,0.023214509257210195
496,0.014731049618898252,0.034345846567706395,0.016511135358447275
497,0.022404606469460533,0.03768074357025099,0.008399035104732272
